City,Long,Lat,Longg,,,,,,,,,,,,Point x
Corpus Christi 8.0 NW,-97.399,27.77,97.399,,,,,0.02,0,0,0,,,,0.02
Corpus Christi 8.3 SSE,-97.2397,27.59,97.2397,,,,,0.01,0,0,0,,,,0.01
Corpus Christi 9.0 SSE,-97.2247,27.59,97.2247,,,,,0,0,0,0,,,,0
Corpus Christi 9.1 NW,-97.3932,27.8,97.3932,0,,,,,0,0,0,,,,0
CORSICANA                     ,-96.4,32.03,-96.4,,,0.32,0,,0,0,,,,,0.32
CORSICANA                     ,-96.47,32.09,-96.47,,,0.27,0.15,0,0,0,,,,,0.42
Corsicana 4.3 WSW,-96.5329,32.06,96.5329,0,0.05,0.3,0.03,0,0,0,0,,,,0.38
Cottonwood 1.3 NE,-96.379,32.47,96.379,0.05,0.01,0.03,0.02,0,0,0,0,,,,0.11
Cottonwood Shores,-98.32,30.56,-98.32,Aug 25-28 12z,,,,,,,,,,,1.08
COTULLA                       ,-99.22,28.46,-99.22,0,0,0.09,0,,,,,,,,0.09
Cotulla 1.6 NE,-99.2184,28.45,99.2184,0,0,0.11,0,0,0,0,0,,,,0.11
Cotulla 9.7 NNE,-99.1535,28.55,99.1535,,,0.28,,,,,,,,,0.28
Coupland 5 WSW,-97.45,30.44,-97.45,Aug 25-28 12z,,,,,,,,,,,9.68
Coupland 6.5 ESE,-97.2882,30.42,97.2882,,1.49,5.81,2.55,0.07,,,,,,,9.92
Cowart Creek @ Baker Road,-95.2225,29.51,-95.2225,2.56,9.64,8.36,11.56,4,0,0,,,,,36.12
Craigen Road @ Taylors Bayou D-500,-94.2572,29.88,-94.2572,0.71,3.46,8.35,6.85,25.19,2.72,0,,,,,47.28
CRAWFORD                      ,-97.45,31.53,-97.45,0.48,0,0.45,0.12,,0,,,,,,1.05
Crawford 7.5 ENE,-97.3243,31.58,97.3243,0.63,0.02,0.5,0.12,0,0,0,0,,,,1.27
Creedmoor 1.5 NNW,-97.7493,30.11,97.7493,0.02,2.46,7.29,2.38,,,0.01,,,,,12.16
Creedmoor 2.6 N,-97.7359,30.13,97.7359,,2.19,7.22,2.35,,,,,,,,11.76
CRESSON                       ,-97.62,32.53,-97.62,,,,1,0.1,,,,,,,1.1
CROCKETT                      ,-95.45,31.3,-95.45,0.08,0,2.66,2.45,0.22,0.04,0,,,,,5.45
Crockett 1.8 NNE,-95.4494,31.34,95.4494,0.03,0,2.2,2.16,0.19,0.03,0.01,0,,,,4.62
CROSBY                   1 N  ,-95.08,29.9,-95.08,,,,,8.44,,,,,,,8.44
Crosby 2 W,-95.09,29.91,-95.09,Aug 25-31 12z,,,,,,,,,,,37.5
CROSBY TX/CEDAR BAYOU,-94.99,29.97,-94.99,,,,,6.68,,,,,,,6.68
CROSBYTON                     ,-101.09,33.46,-101.09,,,,0,,,,,,,,0
CROSBYTON                1 SW ,-101.24,33.59,-101.24,,,0.04,0,,,,,,,,0.04
CROSS                    9 N  ,-98.57,28.6,-98.57,0,0.39,0.61,0.05,0,,,,,,,1.05
Cross 1.7 NNW,-98.5521,28.63,98.5521,0,0.13,0.36,0,0,0,0,0,,,,0.49
Cross Mountain 1.2 N,-98.6625,29.66,98.6625,,0.24,1.04,0.36,,,,,,,,1.64
Cross Mountain 2.1 N,-98.6535,29.67,98.6535,0,0.25,0.98,0.02,0,0,0,0,,,,1.25
Cross Plains 6.5 WNW,-99.267,32.16,99.267,0.12,0.01,0.06,,,0,0,0,,,,0.19
CROWELL                  1 NNW,-99.73,33.99,-99.73,,,,0,,,,,,,,0
Crowell 10.5 E,-99.5408,33.98,99.5408,0,0,0,0,0,0,0,0,,,,0
Crowley 1.4 SSE,-97.3526,32.56,97.3526,,,0.22,,,,,,,,,0.22
Crystal Beach 3.7 ENE,-94.5803,29.48,94.5803,1.07,,,,,,0,,,,,1.07
Crystal City 0.5 ESE,-99.8185,28.69,99.8185,0.15,0.17,0.02,0.02,0,,,0,,,,0.36
Crystal City 0.5 S,-99.8256,28.68,99.8256,0.16,0.15,0.04,,,,,,,,,0.35
Crystal City 0.7 WNW,-99.8357,28.69,99.8357,0.24,0.19,0.03,0,,,,0,,,,0.46
Crystal City 9.2 E,-99.6738,28.68,99.6738,0,0.4,0,0.01,0,0,0,0,,,,0.41
Cuero 0.4 SSW,-97.2892,29.09,97.2892,,,14,,,,,,,,,14
Cuero 1.2 SSE,-97.2786,29.08,97.2786,,,,,,,0,,,,,0
Cuero 2 W,-97.32,29.09,-97.32,Aug 25-28 12z,,,,,,,,,,,5.28
Cuero 2.5 ESE,-97.2519,29.08,97.2519,0.07,4.9,3.49,2.5,0.13,0,0,0.01,,,,11.1
Cuero 2.6 ESE,-97.2499,29.08,97.2499,0.09,4.55,3.16,2.5,0.16,0,0,0.01,,,,10.47
Cuero 2.7 ESE,-97.2492,29.08,97.2492,0.07,4.9,3.73,2.25,0.2,0.01,0,0.01,,,,11.17
Cuero 7.3 SSW,-97.34,29,97.34,0.76,,5.97,1.24,0.08,0,0,0,,,,8.05
Cuero 8.4 S,-97.2922,28.97,97.2922,0.41,,10.52,1.43,,,0,,,,,12.36
Cuero 8.4 S,-97.2788,28.97,97.2788,,7.41,3.55,1.94,0.32,0,0,0,,,,13.22
Cumby 1.5 N,-95.843,33.16,95.843,0,0.02,,0,0,0,0,0,,,,0.02
Cumby 5.6 SSE,-95.8116,33.06,95.8116,0,0.03,0,0.02,0,0,0,0,,,,0.05
CYPRESS                       ,-95.7,30.02,-95.7,,,,,,0.36,,,,,,0.36
Cypress 3.2 ESE,-95.6463,29.96,95.6463,0.03,2.03,11.46,8.79,5.14,0.38,0,0,,,,27.83
Cypress Creek @ Cypresswood Drive,-95.33,30.03,-95.33,0.32,7.88,18.88,5,3.08,0,0,,,,,35.16
Cypress Creek @ Eldridge Parkway N,-95.6076,29.97,-95.6076,0.32,5.48,13.08,4.16,1.64,0,0,,,,,24.68
Cypress Creek @ Huffmeister Road,-95.6312,29.96,-95.6312,0.44,7.32,14.8,4.36,1.72,0,0,,,,,28.64
Cypress Creek @ I-45,-95.4287,30.04,-95.4287,0.28,7.72,16.44,4.56,2.08,0,0,,,,,31.08
Cypress Creek @ Inverness Forest,-95.4099,30.03,-95.4099,0.28,7.08,16.6,4.96,2.36,0,0,,,,,31.28
Cypress Creek @ Katy-Hockley Road,-95.8083,29.95,-95.8083,0.56,9.12,18.08,3.36,0.76,0,0,,,,,31.88
Cypress Creek @ Kuykendahl Road,-95.4759,30.02,-95.4759,0.24,7.36,15.84,4.28,1.84,0,0,,,,,29.56
Cypress Creek @ SH 249,-95.5699,29.99,-95.5699,0.36,6.6,16.04,4.4,1.6,0,0,,,,,29
Cypress creek @ Sharp Road,-95.8402,29.92,-95.8402,0.72,8.2,19.88,3.48,0.72,0,0,,,,,33
Cypress Creek @ Stuebner-Airline Road,-95.5116,30.01,-95.5116,0.32,7.2,15.96,4.88,1.84,0,0,,,,,30.2
CYPRESS MILL                  ,-98.19,30.38,-98.19,0.22,0.37,2.01,0.78,0,,,,,,,3.38
CYPRESS MILL             7 SSE,-98.24,30.28,-98.24,0.69,0.5,2.42,1.14,0,,,,,,,4.75
Cypress Mill 3 ESE,-98.22,30.37,-98.22,Aug 25-28 12z,,,,,,,,,,,3.15
Cypress Mills 3.1 SE,-98.2188,30.34,98.2188,0.36,0.47,2.73,0.73,0,,,,,,,4.29
Daisetta NNW 8219,-96.52,30.13,-96.52,Aug 25-31 12z,,,,,,,,,,,30.58
Dale 4.4 SE,-97.5189,29.88,97.5189,0.2,2.11,10.79,3.09,0.01,,,,,,,16.2
Dale 7.3 SE,-97.4714,29.86,97.4714,0.67,1.89,10.81,4.2,0.06,0,0,0,,,,17.63
Dale 7.6 N,-97.5696,30.04,97.5696,0.29,1.93,9.59,2.76,0.1,0,0,0,,,,14.67
Dalhart 8.1 W,-102.6567,36.08,102.6567,0,0,0,0.13,0,0,0,0,,,,0.13
DALLAS                        ,-96.85,32.85,-96.85,,,0,0.74,0.32,0,,,,,,1.06
DALLAS                        ,-96.87,32.68,-96.87,,,0.03,0.15,0.02,,,,,,,0.2
Dallas 1.0 NNE,-96.7591,32.81,96.7591,0,0,0.02,0.45,0.16,0,0,0,,,,0.63
Dallas 2.1 NNE,-96.7492,32.82,96.7492,0,0,0,0.25,0.35,,,0,,,,0.6
Dallas 2.7 WNW,-96.8035,32.82,96.8035,0,0,0,0.2,0.04,0,0,0,,,,0.24
Dallas 7.2 SW,-96.8383,32.71,96.8383,0.05,0,0.06,0.04,0.03,0,0,0,,,,0.18
DALLAS-FORT WORTH             ,-97.04,32.9,-97.04,,,0.05,0.46,,0,,,,,,0.51
DANEVANG                 1 W  ,-96.23,29.05,-96.23,0.97,5.42,3.39,3.93,,0,0,,,,,13.71
Danevang 2 W,-96.23,29.05,-96.23,Aug 25-31 12z,,,,,,,,,,,10.8
DAWSON                   5 NNE,-96.69,31.96,-96.69,0,0,0.51,0.02,0,0,,,,,,0.53
Dayton 0.2 E,-94.8914,30.05,94.8914,0,2.45,25,12.27,6.36,3.15,0.08,0,,,,49.31
Dayton 1.1 SE,-94.8815,30.04,94.8815,0,2.6,,,,,0.08,0,,,,2.68
DE KALB                 13 N  ,-94.69,33.69,-94.69,,,0.01,0,0,0,0,,,,,0.01
De Kalb 0.1 SSW,-94.6173,33.51,94.6173,0,0,0.03,0,0,0,,0,,,,0.03
De Leon 4.5 W,-98.613,32.1,98.613,0.26,0.2,0.1,0.05,0,0,0,0,,,,0.61
Dean-Walker Ranch,-105.1906,31.09,105.1906,,,,,,,0,,,,,0
DECATUR                       ,-97.6,33.23,-97.6,,,,0,0,0,,,,,,0
Decatur 4.1 W,-97.662,33.22,97.662,1.61,,,,,,,,,,,1.61
Decatur 8.4 S,-97.5908,33.11,97.5908,1.69,0,0.23,,,,,,,,,1.92
DEL RIO                       ,-100.92,29.37,-100.92,,,0,0,,,,,,,,0
DEL RIO                  2 NW ,-100.91,29.42,-100.91,,,0,0.01,,,,,,,,0.01
Del Rio 5.7 NW,-100.9536,29.44,100.9536,0.02,0,0,0.05,0,0,0,0,,,,0.07
Del Rio 7.8 NNW,-100.9413,29.48,100.9413,0,0,0,0.04,0,0,0,0,,,,0.04
DEL VALLE                3 SW ,-97.69,30.18,-97.69,0.01,1.25,6.66,1.84,0.01,0,,,,,,9.77
Dell City 1.4 SW,-105.2181,31.92,105.2181,0.15,0,0,0,0,0,0,0,,,,0.15
DENISON                       ,-96.57,33.82,-96.57,,,0,0,0,0,,,,,,0
Denison 0.8 ENE,-96.5514,33.76,96.5514,1.07,0.01,,,,,0,0,,,,1.08
Denison 4.9 SW,-96.6244,33.71,96.6244,,0.27,0,0,0,,0,0,,,,0.27
Dennis 1.4 SW,-97.9454,32.61,97.9454,1.36,0.04,0.26,0.23,0,0,0,0,,,,1.89
DENTON                        ,-97.2,33.2,-97.2,,,0.02,0.01,,0,,,,,,0.03
DENTON                   2 SE ,-97.11,33.2,-97.11,,,,0.04,,,,,,,,0.04
DeSoto 2.2 ENE,-96.8279,32.61,96.8279,0,0.01,0.04,1.48,0,0,0,0,,,,1.53
Detroit 14.9 N,-95.2496,33.88,95.2496,0,0,0,0,0.05,0,0,0,,,,0.05
Devine 0.4 S,-98.9053,29.14,98.9053,0,0.22,0.11,0.04,0,0,0,0,,,,0.37
Devine 4 WNW,-98.96,29.16,-98.96,Aug 25-28 12z,,,,,,,,,,,0.42
Devine 6.4 N,-98.9222,29.24,98.9222,0.36,0.1,0.19,0.1,,,,,,,,0.75
Devine 6.7 NNE,-98.8686,29.24,98.8686,0,0.15,0.21,0,0,0,0,0,,,,0.36
D'Hanis 0.4 NNE,-99.2804,29.34,99.2804,0,0.05,0.07,0,0,0,0,0,,,,0.12
D'Hanis 2.4 NNE,-99.2611,29.36,99.2611,0,0.12,0.07,0,0,0,0,0,,,,0.19
D'Hanis 3.5 WSW,-99.3378,29.33,99.3378,0,0.07,0.03,0,0,0,0,0,,,,0.1
DIALVILLE                2 W  ,-95.26,31.91,-95.26,,,0.65,,0,,,,,,,0.65
Dickens 2.3 SW,-100.8689,33.6,100.8689,0,0,0,0,0.02,0,0,0,,,,0.02
Dickens 2.4 SW,-100.8619,33.59,100.8619,0,0.23,0,0,0,0,0,0,,,,0.23
Dickinson 0.5 NNE,-95.0643,29.46,95.0643,0.62,3.38,,,,,,,,,,4
Dickinson 1.4 W,-95.0889,29.46,95.0889,,4.56,,,,,,,,,,4.56
Dickinson NWS,-95.08,29.47,-95.08,Aug 25-31 12z,,,,,,,,,,,43.92
Dilley 0.4 SSW,-99.1724,28.66,99.1724,0,0,0.39,0.02,0,0,0,0,,,,0.41
Dilley 17.9 ESE,-98.9,28.57,98.9,,0.06,0.4,0,0,0,0,0,,,,0.46
DIME BOX                      ,-96.85,30.36,-96.85,,1.57,8.13,5.13,0.02,,,,,,,14.85
Dodd City 3.0 NNW,-96.0978,33.61,96.0978,0,0,0.03,0,0,0,0,0,,,,0.03
Dodge 1.6 S,-95.4017,30.72,95.4017,,0.31,7.68,11.65,2.25,0.91,0.06,,,,,22.86
Driftwood 1 SW,-98.05,30.1,-98.05,Aug 25-28 12z,,,,,,,,,,,4.57
Driftwood 2 SE,-98.01,30.1,-98.01,Aug 25-28 12z,,,,,,,,,,,7.41
Driftwood 2.4 NNW,-98.0394,30.16,98.0394,,1.48,4.44,0.98,,,,,,,,6.9
Driftwood 2.42 SSW,-98.0449,30.09,98.0449,0.05,6.16,1.44,,,,,,,,,7.65
Driftwood 2.8 NNW,-98.0403,30.16,98.0403,0,0.74,5.07,1.08,0,0,0,0,,,,6.89
Driftwood 4 W,-98.1,30.12,-98.1,Aug 25-28 12z,,,,,,,,,,,6.28
Driftwood 5 NE,-97.98,30.17,-97.98,Aug 25-28 12z,,,,,,,,,,,3.18
Driftwood 5.0 S,-98.0187,30.05,98.0187,0.13,0.94,6.83,1.12,0.05,0,,0,,,,9.07
Driftwood 6 NE,-97.96,30.19,-97.96,Aug 25-28 12z,,,,,,,,,,,5.43
Driftwood/Onion Creek,-98.03,30.12,-98.03,Aug 25-28 12z,,,,,,,,,,,7.27
DRIPPING SPRINGS         4 NNE,-98.06,30.25,-98.06,0,0.91,4.13,1.24,0,,,,,,,6.28
DRIPPING SPRINGS         5 SSW,-98.11,30.12,-98.11,0,0.65,4.77,0.87,0,,,,,,,6.29
DRIPPING SPRINGS         6 E  ,-97.98,30.21,-97.98,,1.08,4.5,1.24,,,,,,,,6.82
DRIPPING SPRINGS         8 W  ,-98.22,30.2,-98.22,0.17,0.82,3.33,1.04,0,,,,,,,5.36
Dripping Springs 0.6 SSE,-98.0836,30.18,98.0836,0,0.99,5.07,1.25,0.01,0,0,0,,,,7.32
Dripping Springs 1.3 E,-98.0674,30.19,98.0674,,1.32,4.59,1.15,,,,,,,,7.06
Dripping Springs 1.4 N,-98.0849,30.21,98.0849,,1.18,3.9,1.16,0.02,,,,,,,6.26
Dripping Springs 1.7 NW,-98.1093,30.2,98.1093,0,0.75,4.56,1.23,0,0,,,,,,6.54
Dripping Springs 3.3 NE,-98.0451,30.22,98.0451,0,1.34,3.48,0.76,0,0,0,0,,,,5.58
Dripping Springs 3.8 ESE,-98.0268,30.18,98.0268,0.02,0.93,5.51,1.51,0.02,0,0,0,,,,7.99
Dripping Springs 4 NNE,-98.06,30.25,-98.06,Aug 25-28 12z,,,,,,,,,,,6.25
Dripping Springs 4.1 SSW,-98.1064,30.13,98.1064,0,0.98,1.78,0.52,0.02,0,0,0,,,,3.3
Dripping Springs 4.3 E,-98.0165,30.2,98.0165,0.02,0.99,5.07,1.27,0,0,0,0,,,,7.35
Dripping Springs 5 NNE,-98.05,30.26,-98.05,Aug 25-28 12z,,,,,,,,,,,5.92
Dripping Springs 5 SSW,-98.11,30.12,-98.11,Aug 25-28 12z,,,,,,,,,,,8.21
Dripping Springs 5.6 E,-97.9946,30.19,97.9946,,,6.13,1.43,0.02,,,,,,,7.58
Dripping Springs 6 N,-98.08,30.31,-98.08,Aug 25-28 12z,,,,,,,,,,,4.69
Dripping Springs 6.0 NNE,-98.0602,30.27,98.0602,0.02,0.88,4.44,1.5,0,0,0,0,,,,6.84
Dripping Springs 6.1 WNW,-98.1749,30.24,98.1749,,1,3.35,1.29,,,,,,,,5.64
Dripping Springs 6.2 WSW,-98.1876,30.16,98.1876,,,,,0,0,0,0,,,,0
Dripping Springs 6.3 E,-97.9829,30.18,97.9829,0.08,1.44,3.5,1.02,0.02,0,0,0,,,,6.06
Dripping Springs 6.4 N,-98.0711,30.28,98.0711,0.32,1.15,3.09,1.22,0,0,0,0,,,,5.78
Dripping Springs 7.2 E,-97.969,30.2,97.969,0.09,1.03,5.17,1.22,0.02,,0,0,,,,7.53
Dripping Springs 7.6 N,-98.0945,30.3,98.0945,0.22,1,4.1,1.24,,,,,,,,6.56
Dripping Springs 8.4 W,-98.2263,30.17,98.2263,0.07,0.68,3.15,1.01,0,0,0,0,,,,4.91
Dryden 17.7 NE,-101.8204,30.07,101.8204,,,0,0,0,0,,,,,,0
DUMONT                        ,-100.52,33.81,-100.52,,,0,0,,,,,,,,0
Duncanville 1.7 NNW,-96.9216,32.67,96.9216,0,0,0.03,0.21,0.12,0,0,0,,,,0.36
Duncanville 3.2 WNW,-96.9666,32.66,96.9666,0,0.05,0.04,0.4,0.23,0,,,,,,0.72
DUNDEE                   5 NW ,-98.93,33.81,-98.93,,,0,0,0,,,,,,,0
EAGLE LAKE               7 NE ,-96.24,29.66,-96.24,0.02,8.99,4.7,5.43,2.61,0,0,,,,,21.75
Eagle Mountain 2.4 WSW,-97.4798,32.88,97.4798,0.32,,,0.37,0,0,0,0,,,,0.69
EAGLE PASS                    ,-100.48,28.71,-100.48,,,,0,,,,,,,,0
East Bay Bayou @ Skillern Tract,-94.4137,29.63,-94.4137,3.62,3.11,8.47,11.53,19.17,1.54,0,,,,,47.44
EAST BERNARD                  ,-96.06,29.53,-96.06,0.02,8.36,4.83,2.81,5.34,0,0.01,,,,,21.37
East Bernard 7.6 S,-96.0577,29.42,96.0577,0.07,7.6,5.24,2.37,5.19,0,0,0,,,,20.47
East Fork of DB @ Fairview Rd,-94.5828,29.73,-94.5828,1.69,4.29,11.3,9.96,12.76,1.57,0,,,,,41.57
East Fork San Jacinto @ FM 1485,-95.1251,30.15,-95.1251,0.16,4.4,13.92,4.56,4.36,0.04,0,,,,,27.44
East Lucas @ Ditch 002,-94.1197,30.13,-94.1197,0.4,2.71,8.98,5.47,15.08,6.97,0.04,,,,,39.65
Eastex Freeway @ Ditch 001,-94.1578,30.13,-94.1578,0.31,2.36,8.82,5.36,16.65,6.22,0.04,,,,,39.76
Eden 2.5 SSW,-99.8595,31.18,99.8595,,1.42,0.3,0.07,,,,,,,,1.79
Edgecliff 3.7 WSW,-97.3966,32.63,97.3966,3.5,0.26,0.17,0.65,,,,,,,,4.58
EDINBURG                      ,-98.15,26.3,-98.15,,0,0,0,0,,,,,,,0
Edinburg 2.4 N,-98.171,26.33,98.171,0.01,0,0,0,0,0,0,0,,,,0.01
EL CAMPO                15 WSW,-96.51,29.16,-96.51,0.35,3.14,1.91,1.47,2.29,0.03,,,,,,9.19
El Campo 1.0 NW,-96.289,29.21,96.289,0.34,4.35,3.06,2.57,2.9,0,0,0,,,,13.22
El Campo 2.5 WSW,-96.3156,29.18,96.3156,,3.91,3.05,1.27,3.17,,,,,,,11.4
El Campo 2.7 NW,-96.302,29.23,96.302,0.19,4.5,3.51,1.51,3.49,0,0,0,,,,13.2
El Campo 4.9 SSE,-96.2602,29.13,96.2602,0.4,5.46,3.87,1.05,4.38,0,0,0,,,,15.16
El Cenizo 8.8 E,-99.361,27.32,99.361,0,0,0,0,0,0,0,0,,,,0
El Paso 1.2 WSW,-106.4565,31.84,106.4565,0,0.05,0,0,0,0,0,0,,,,0.05
El Paso 1.7 W,-106.4659,31.85,106.4659,0,0.07,0,,0,,,0,,,,0.07
El Paso 10.7 E,-106.3088,31.74,106.3088,,0,,0,0,,0,0,,,,0
El Paso 10.7 E,-106.3051,31.76,106.3051,,0,,0,0,0,0,,,,,0
El Paso 11.3 ENE,-106.2954,31.77,106.2954,0,0,0,0,0,0,0,0,,,,0
El Paso 2.9 SSW,-106.4525,31.81,106.4525,,0.06,,,,,,,,,,0.06
El Paso 3.3 NNE,-106.4222,31.9,106.4222,0,0,0,0,0,0,0,0,,,,0
El Paso 3.8 SSW,-106.4642,31.8,106.4642,,0.04,,,,,,,,,,0.04
El Paso 4.0 SSW,-106.4566,31.79,106.4566,0,0.03,0,0,0,0,0,0,,,,0.03
El Paso 4.6 NNE,-106.3952,31.91,106.3952,0,0,0,0,0,0,0,0,,,,0
El Paso 4.6 WSW,-106.5134,31.83,106.5134,0,0,0,0,0,0,0,0,,,,0
El Paso 4.7 N,-106.4278,31.92,106.4278,,,,,0,0,0,0,,,,0
El Paso 5.1 SW,-106.4905,31.79,106.4905,,,,0,0,0,0,0,,,,0
El Paso 5.5 SW,-106.4941,31.79,106.4941,0.01,,,0,0,0,0,0,,,,0.01
El Paso 6.0 N,-106.445,31.94,106.445,0,0,0,0,0,0,0,0,,,,0
El Paso 6.4 SE,-106.3686,31.78,106.3686,0,0.03,0,0,0,0,0,0,,,,0.03
El Paso 6.9 WNW,-106.5503,31.88,106.5503,0,0,0,0,0,0,0,0,,,,0
El Paso 7.6 SE,-106.3445,31.77,106.3445,,0.03,,,,,,,,,,0.03
El Paso 8.0 WSW,-106.5669,31.81,106.5669,,0.15,,,,,,,,,,0.15
El Paso 8.8 SE,-106.3325,31.76,106.3325,0,0,0,0,0,0,0,0,,,,0
El Paso 8.9 ESE,-106.3112,31.78,106.3112,0,0,0,0,0,0,0,0,,,,0
El Paso 9.1 WNW,-106.5861,31.89,106.5861,,0.29,,,,,,,,,,0.29
Eldorado 0.2 WSW,-100.6005,30.86,100.6005,0.02,0.14,0.06,0.2,,,,,,,,0.42
Eldorado 22.6 ENE,-100.2609,31.02,100.2609,,0.42,,,,,,,,,,0.42
Elgin,-97.37,30.35,-97.37,Aug 25-28 12z,,,,,,,,,,,10.16
ELGIN                         ,-97.37,30.35,-97.37,0,2.57,5.39,2.2,0.05,0,,,,,,10.21
ELGIN                    6 SSE,-97.33,30.27,-97.33,0.01,1.93,7.64,2.56,0.12,0,,,,,,12.26
ELGIN                    8 NW ,-97.47,30.42,-97.47,0.01,1.1,6.15,2.46,0.02,0,,,,,,9.74
ELGIN                    9 SW ,-97.43,30.23,-97.43,0.01,1.89,7.51,2.04,0.07,0,,,,,,11.52
Elgin 0.9 NW,-97.3842,30.36,97.3842,0,1.56,6.79,2.47,0.05,0,0,0,,,,10.87
Elgin 2 ENE,-97.35,30.36,-97.35,Aug 25-28 12z,,,,,,,,,,,8.51
Elgin 2 NE,-97.34,30.38,-97.34,Aug 25-28 12z,,,,,,,,,,,8.53
Elgin 2.0 W,-97.4062,30.35,97.4062,,,,0,0,0,0,,,,,0
Elgin 2.8 NNE,-97.3573,30.39,97.3573,0.28,1.76,6.14,2.51,0.05,0,0,0,,,,10.74
Elgin 3.4 W,-97.4298,30.35,97.4298,,,4.25,1.85,0,0,0,0,,,,6.1
Elgin 3.8 ENE,-97.3173,30.38,97.3173,0,1.9,7.34,2.52,0.05,0,0,0,,,,11.81
Elgin 3.8 W,-97.4355,30.34,97.4355,0.37,3.06,4.63,2.06,,,,,,,,10.12
Elgin 4.4 SSE,-97.3414,30.29,97.3414,0,2.93,6.11,2.33,0,0,0,0,,,,11.37
Ellington Field  ,-95.16,29.6,-95.16,Aug 25-31 12z,,,,,,,,,,,39.23
Ellington Field 1 SW,-95.17,29.59,-95.17,Aug 25-31 12z,,,,,,,,,,,39.23
Ellington Field 2 E,-95.12,29.6,-95.12,Aug 25-31 12z,,,,,,,,,,,52
Elliott 1.2 NNE,-99.042,34.17,99.042,0,0.53,,,0,0,0,0,,,,0.53
Elm Bayou at Fairview Road,-94.4041,29.73,-94.4041,1.81,2.72,8.5,9.49,15.55,0.83,0,,,,,38.9
Elmendorf 0.8 NNE,-98.3282,29.27,98.3282,0.87,0.6,2.25,0.44,0,0,0,0,,,,4.16
Elmendorf 5.6 ENE,-98.2456,29.28,98.2456,0.35,0.65,1.98,0.72,0.01,0,0,0,,,,3.71
Enchanted Rock Station 3 E,-98.77,30.51,-98.77,Aug 25-28 12z,,,,,,,,,,,1.51
Enchanted Rock Station 3 NW,-98.85,30.54,-98.85,Aug 25-28 12z,,,,,,,,,,,0.7
Enchanted Rock Station 6 S,-98.82,30.41,-98.82,Aug 25-28 12z,,,,,,,,,,,1.36
Enchanted Rock Station 7 NE,-98.71,30.6,-98.71,Aug 25-28 12z,,,,,,,,,,,1.01
Enchanted Rock Station 9 ENE,-98.69,30.54,-98.69,Aug 25-28 12z,,,,,,,,,,,1.23
Encino 2 W,-98.17,26.93,-98.17,,0.05,,,,,,,,,,0.05
Encino 5 N,-98.13,27,-98.13,,0.35,,,,,,,,,,0.35
Ennis 10.0 NNE,-96.5622,32.47,96.5622,0,0,0.11,0.08,0,0,0,0,,,,0.19
Ennis 7.0 ENE,-96.5122,32.36,96.5122,0,0.13,0.03,0.42,0,0,0,0,,,,0.58
Eustace 7.4 NE,-95.9162,32.38,95.9162,0,0,0.06,0.05,0,0,0,0,,,,0.11
Ezers Bridge,-94.6175,29.61,-94.6175,1.58,4.25,7.4,9.65,13.78,0.35,0,,,,,37.01
F.M. 1406 @ North Fork Taylors Bayou,-94.4003,29.95,-94.4003,0.63,3.35,12.52,8.46,13.66,3.19,0,,,,,41.81
Fair Oaks Ranch 0.4 WSW,-98.6425,29.73,98.6425,0,0.25,1.03,0.46,0,0,0,0,,,,1.74
Fair Oaks Ranch 1.1 NNW,-98.6402,29.75,98.6402,0.01,0.23,0.81,0.42,0,0,0,0,,,,1.47
Fair Oaks Ranch 1.8 NW,-98.6527,29.76,98.6527,0,0.29,0.84,0.41,0,0,0,0,,,,1.54
Fair Oaks Ranch 10.0 NNE,-98.5854,29.87,98.5854,0.03,0.17,0.86,0.47,0,0,0,0,,,,1.53
Fair Oaks Ranch 2.2 NNW,-98.6465,29.77,98.6465,0,0.26,0.76,0.44,0,0,0,0,,,,1.46
Fairview 1.5 ESE,-96.6003,33.13,96.6003,0,0.04,0,0.22,,0,,0,,,,0.26
Falfurrias,-98.14,27.22,-98.14,,0.2,,,,,,,,,,0.2
FALFURRIAS                    ,-98.14,27.26,-98.14,,0.24,,,,,,,,,,0.24
Falfurrias 0.4 WNW,-98.1516,27.23,98.1516,,0.25,,,,,,,,,,0.25
Falfurrias 0.8 SSW,-98.1505,27.21,98.1505,0.05,0.24,0,0.03,0,0,0,0,,,,0.32
Falfurrias 8.9 SSW,-98.2058,27.11,98.2058,0.05,0.11,0,0,0,0,0,0,,,,0.16
Falls City 8.3 WSW,-98.155,28.95,98.155,0,1.43,1.63,0.36,0,0,0,0,,,,3.42
Fancher Crossing @ State Hwy 65,-94.5544,29.77,-94.5544,1.42,3.34,10.32,8.34,11.66,1.06,0.04,,,,,36.18
Fannett 1 NE,-94.24,29.93,-94.24,Aug 24-Sep 1 12z,,,,,,,,,,,49.25
Fannett 2 SW,-94.27,29.9,-94.27,Aug 24-Sep 1 12z,,,,,,,,,,,44.96
Fannett 5 WNW,-94.33,29.95,-94.33,Aug 24-Sep 1 12z,,,,,,,,,,,45
Fannett 6 SE,-94.18,29.86,-94.18,Aug 24-Sep 1 12z,,,,,,,,,,,39.76
Fayetteville 1.0 SW,-96.6866,29.9,96.6866,0.1,4.52,9.93,7.59,0.55,0.01,0,0,,,,22.7
Fayetteville 4 W,-96.74,29.91,-96.74,Aug 25-28 12z,,,,,,,,,,,18.47
FEDOR                         ,-97.06,30.32,-97.06,0,3.36,8.7,,,,,,,,,12.06
